# Verification: f(x) = g(Mx+b)
# n=8

osel1110: PASS T=4 m=8
osel1111: PASS T=2 m=8
osel1112: PASS T=16 m=8
osel1113: PASS T=8 m=8
osel1114: PASS T=8 m=8
osel1115: PASS T=4 m=8
osel1116: PASS T=8 m=8
osel1117: PASS T=4 m=8
osel1118: PASS T=4 m=8
osel1119: PASS T=2 m=8
osel1120: PASS T=8 m=8
osel1121: PASS T=4 m=8
osel1122: PASS T=4 m=8
osel1123: PASS T=2 m=8
osel1124: PASS T=4 m=8
osel1125: PASS T=2 m=8
osel1126: PASS T=2 m=8
osel1127: PASS T=1 m=8
osel20: PASS T=256 m=8
osel21: PASS T=128 m=8
osel22: PASS T=128 m=8
osel23: PASS T=64 m=8
osel24: PASS T=128 m=8
osel25: PASS T=64 m=8
osel26: PASS T=64 m=8
osel27: PASS T=32 m=8
osel28: PASS T=128 m=8
osel29: PASS T=64 m=8
osel210: PASS T=64 m=8
osel211: PASS T=32 m=8
osel212: PASS T=64 m=8
osel213: PASS T=32 m=8
osel214: PASS T=32 m=8
osel215: PASS T=16 m=8
osel216: PASS T=128 m=8
osel217: PASS T=64 m=8
osel218: PASS T=64 m=8
osel219: PASS T=32 m=8
osel220: PASS T=64 m=8
osel221: PASS T=32 m=8
osel222: PASS T=32 m=8
osel223: PASS T=16 m=8
osel224: PASS T=64 m=8
osel225: PASS T=32 m=8
osel226: PASS T=32 m=8
osel227: PASS T=16 m=8
osel228: PASS T=32 m=8
osel229: PASS T=16 m=8
osel230: PASS T=16 m=8
osel231: PASS T=8 m=8
osel232: PASS T=128 m=8
osel233: PASS T=64 m=8
osel234: PASS T=64 m=8
osel235: PASS T=32 m=8
osel236: PASS T=64 m=8
osel237: PASS T=32 m=8
osel238: PASS T=32 m=8
osel239: PASS T=16 m=8
osel240: PASS T=64 m=8
osel241: PASS T=32 m=8
osel242: PASS T=32 m=8
osel243: PASS T=16 m=8
osel244: PASS T=32 m=8
osel245: PASS T=16 m=8
osel246: PASS T=16 m=8
osel247: PASS T=8 m=8
osel248: PASS T=64 m=8
osel249: PASS T=32 m=8
osel250: PASS T=32 m=8
osel251: PASS T=16 m=8
osel252: PASS T=32 m=8
osel253: PASS T=16 m=8
osel254: PASS T=16 m=8
osel255: PASS T=8 m=8
osel256: PASS T=32 m=8
osel257: PASS T=16 m=8
osel258: PASS T=16 m=8
osel259: PASS T=8 m=8
osel260: PASS T=16 m=8
osel261: PASS T=8 m=8
osel262: PASS T=8 m=8
osel263: PASS T=4 m=8
osel264: PASS T=128 m=8
osel265: PASS T=64 m=8
osel266: PASS T=64 m=8
osel267: PASS T=32 m=8
osel268: PASS T=64 m=8
osel269: PASS T=32 m=8
osel270: PASS T=32 m=8
osel271: PASS T=16 m=8
osel272: PASS T=64 m=8
osel273: PASS T=32 m=8
osel274: PASS T=32 m=8
osel275: PASS T=16 m=8
osel276: PASS T=32 m=8
osel277: PASS T=16 m=8
osel278: PASS T=16 m=8
osel279: PASS T=8 m=8
osel280: PASS T=64 m=8
osel281: PASS T=32 m=8
osel282: PASS T=32 m=8
osel283: PASS T=16 m=8
osel284: PASS T=32 m=8
osel285: PASS T=16 m=8
osel286: PASS T=16 m=8
osel287: PASS T=8 m=8
osel288: PASS T=32 m=8
osel289: PASS T=16 m=8
osel290: PASS T=16 m=8
osel291: PASS T=8 m=8
osel292: PASS T=16 m=8
osel293: PASS T=8 m=8
osel294: PASS T=8 m=8
osel295: PASS T=4 m=8
osel296: PASS T=64 m=8
osel297: PASS T=32 m=8
osel298: PASS T=32 m=8
osel299: PASS T=16 m=8
osel2100: PASS T=32 m=8
osel2101: PASS T=16 m=8
osel2102: PASS T=16 m=8
osel2103: PASS T=8 m=8
osel2104: PASS T=32 m=8
osel2105: PASS T=16 m=8
osel2106: PASS T=16 m=8
osel2107: PASS T=8 m=8
osel2108: PASS T=16 m=8
osel2109: PASS T=8 m=8
osel2110: PASS T=8 m=8
osel2111: PASS T=4 m=8
osel2112: PASS T=32 m=8
osel2113: PASS T=16 m=8
osel2114: PASS T=16 m=8
osel2115: PASS T=8 m=8
osel2116: PASS T=16 m=8
osel2117: PASS T=8 m=8
osel2118: PASS T=8 m=8
osel2119: PASS T=4 m=8
osel2120: PASS T=16 m=8
osel2121: PASS T=8 m=8
osel2122: PASS T=8 m=8
osel2123: PASS T=4 m=8
osel2124: PASS T=8 m=8
osel2125: PASS T=4 m=8
osel2126: PASS T=4 m=8
osel2127: PASS T=2 m=8

All: PASS
